question,sentence,label,idx
"What is the only district in the CBD to not have ""downtown"" in it's name?","Central business districts (CBD) include Downtown Los Angeles, Downtown San Diego, Downtown San Bernardino, Downtown Bakersfield, South Coast Metro and Downtown Riverside.",0,5014
What helped the Lama determine to be reborn?,"A Lama who has through phowa and siddhi consciously determined to be reborn, often many times, in order to continue their Bodhisattva vow is called a Tulku.",0,3075
What was the theorized maximum population density per square kilometre for the Amazon rainforest?,"She claimed that a population density of 0.2 inhabitants per square kilometre (0.52/sq mi) is the maximum that can be sustained in the rainforest through hunting, with agriculture needed to host a larger population.",0,174
What term do Islamists think should be applied to them?,"Islamists have asked the question, ""If Islam is a way of life, how can we say that those who want to live by its principles in legal, social, political, economic, and political spheres of life are not Muslims, but Islamists and believe in Islamism, not [just] Islam?""",0,3371
Who is Denver's defensive coordinator?,"Under defensive coordinator Wade Phillips, the Broncos' defense ranked number one in total yards allowed, passing yards allowed and sacks, and like the previous three seasons, the team has continued to set numerous individual, league and franchise records.",0,1667
What was a plugs-out test done to simulate on the LC-34?,"A ""plugs-out"" test was planned for January, which would simulate a launch countdown on LC-34 with the spacecraft transferring from pad-supplied to internal power.",0,1050
What is the concept of the visible and invisible Church?,"The United Methodist Church understands itself to be part of the holy catholic (or universal) church and it recognizes the historic ecumenical creeds, the Apostle's Creed and the Nicene Creed; which are used frequently in services of worship.",1,3346
Who missed a field goal for the Panthers?,"After the miss, Manning completed a pair of passes to Emmanuel Sanders for gains of 25 and 22 yards, setting up McManus' 33-yard field goal that gave the Broncos a 16–7 lead.",1,3178
In what borough of New York City is ABC headquartered?,"The American Broadcasting Company (ABC) (stylized in its logo as abc since 1957) is an American commercial broadcast television network that is owned by the Disney–ABC Television Group, a subsidiary of Disney Media Networks division of The Walt Disney Company.",1,1657
How do competing businesses attract workers?,Their competitors will take advantage of the situation by offering a higher wage the best of their labor.,0,3512
How did Luther express the destruction?,"Luther sympathised with some of the peasants' grievances, as he showed in his response to the Twelve Articles in May 1525, but he reminded the aggrieved to obey the temporal authorities.",1,2257
How many people lived in Warsaw in 1939?,Unfortunately this belief still lives on in Poland (although not as much as it used to be),1,5458
What is another name for exoteric?,"In the more spiritual or mystical Islamic tradition of Sufism, the position of spiritual teacher and an esoteric (as opposed to exoteric, or actions-oriented, e.g. the Five Pillars of Islam) spirituality and spiritual knowledge takes on a more important dimension, with emphasis on learning from living saints - the highest of which is a Qutb - and of traditions passed down from initiate to initiate, and traceable back to the founder of the order.",0,4627
Who formed the government in Kenya?,"In this way, Kenya became an independent country under the Kenya Independence Act 1963 of the United Kingdom.",1,4765
What player played in the Super Bowl after breaking his arm two weeks before?,"McManus made all four of his field goals, making him perfect on all 11 attempts during the post-season.",1,4543
When did Maududi found the Jamaat-e-Islami party?,"Sayyid Abul Ala Maududi was an important early twentieth-century figure in the Islamic revival in India, and then after independence from Britain, in Pakistan.",1,1511
When did he first get out of bed following the accident?,"In early 1938, Tesla was able to get up.",0,4154
What were NTL's services rebranded as?,"The announcement came a day after Setanta Sports confirmed that it would launch in March as a subscription service on the digital terrestrial platform, and on the same day that NTL's services re-branded as Virgin Media.",0,2333
"Besides taking in boarders, how did Katharina help support the family?","Between bearing six children, Hans – June 1526; Elizabeth – 10 December 1527, who died within a few months; Magdalene – 1529, who died in Luther's arms in 1542; Martin – 1531; Paul – January 1533; and Margaret – 1534; Katharina helped the couple earn a living by farming the land and taking in boarders.",0,3176
What was the other finalist besides Levi's Stadium?,"The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.",1,5055
How many Victorians are Buddhist?,"Victoria is also home of 152,775 Muslims and 45,150 Jews.",1,4172
Who was the famous Huguenot theologian and writer in London?,"Andrew Lortie (born André Lortie), a leading Huguenot theologian and writer who led the exiled community in London, became known for articulating their criticism of the Pope and the doctrine of transubstantiation during Mass.",0,4576
What was the source of the Rhine in the last Ice Age?,"Most of the Rhine's current course was not under the ice during the last Ice Age; although, its source must still have been a glacier.",0,1036
"What is the ABC affiliate that serves Lima, Ohio?","ABC maintains affiliations with low-power stations (broadcasting either in analog or digital) in a few markets, such as Birmingham, Alabama (WBMA-LD), Lima, Ohio (WLQP-LP) and South Bend, Indiana (WBND-LD).",0,1681
What type of theatre is the Warsaw Fotoplastikon?,"The Warsaw Uprising Museum also operates a rare preserved and operating historic stereoscopic theatre, the Warsaw Fotoplastikon.",0,4698
What is the largest ctenophore?,"There are two known species, with worldwide distribution in warm, and warm-temperate waters: Cestum veneris (""Venus' girdle"") is among the largest ctenophores – up to 1.5 meters (4.9 ft) long, and can undulate slowly or quite rapidly.",0,1583
What are examples of clinical services that pharmacists can provide?,"Such services include the thorough analysis of all medication (prescription, non-prescription, and herbals) currently being taken by an individual.",0,3546
What is included with each packet label,"Each packet is labeled with a destination address, source address, and port numbers.",0,4194
Cost overruns with government projects have occurred when the contractor did what?,"Mortgage bankers, accountants, and cost engineers are likely participants in creating an overall plan for the financial management of the building construction project.",1,102
What is an example of a mechanical barrier on leaves?,"However, as organisms cannot be completely sealed from their environments, other systems act to protect body openings such as the lungs, intestines, and the genitourinary tract.",1,4628
Where did two of Triton's daughters set out on a journey through?,"The best-known legend, by Artur Oppman, is that long ago two of Triton's daughters set out on a journey through the depths of the oceans and seas.",0,208
What injury did Thomas Davis suffer during the playoff games?,"Carolina suffered a major setback when Thomas Davis, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game.",0,1567
When was the Soulages collection acquired?,"The Soulages collection of Italian and French Renaissance objects was acquired between 1859 and 1865, and includes several cassone.",0,5153
What do astronaughts experience while in free-fall?,"If an astronaut places an object with mass in mid-air next to himself, it will remain stationary with respect to the astronaut due to its inertia.",1,1905
When did Tesla go to Prague?,"Unfortunately, he arrived too late to enroll at Charles-Ferdinand University; he never studied Greek, a required subject; and he was illiterate in Czech, another required subject.",1,2154
What shape are granal thylakoids?,"In the helical thylakoid model, grana consist of a stack of flattened circular granal thylakoids that resemble pancakes.",0,2777
How long will the event at Santa Clara Convention Center last?,"In addition, there are $2 million worth of other ancillary events, including a week-long event at the Santa Clara Convention Center, a beer, wine and food festival at Bellomy Field at Santa Clara University, and a pep rally.",0,2398
What is the area called where two plates move apart?,"Mid-ocean ridges, high regions on the seafloor where hydrothermal vents and volcanoes exist, were explained as divergent boundaries, where two plates move apart.",0,845
"In autoimmune disorders, the immune system doesn't distinguish between what types of cells?","Here, the immune system fails to properly distinguish between self and non-self, and attacks part of the body.",0,2117
What campaign did the Communist regime initiate after WWII?,"After World War II, under a Communist regime set up by the conquering Soviets, the ""Bricks for Warsaw"" campaign was initiated, and large prefabricated housing projects were erected in Warsaw to address the housing shortage, along with other typical buildings of an Eastern Bloc city, such as the Palace of Culture and Science, a gift from the Soviet Union.",0,1783
Who besides the british colonized Africa?,"He states that maps ""contributed to empire by promoting, assisting, and legitimizing the extension of French and British power into West Africa"".",0,2465
When was the Brotherhood first banned in Egypt?,"The Brotherhood has suffered periodic repression in Egypt and has been banned several times, in 1948 and several years later following confrontations with Egyptian president Gamal Abdul Nasser, who jailed thousands of members for several years.",0,5077
"According to the UMC, persons who are addicted to pornography have altered perceptions of whom?","Persons who are addicted to pornography are physiologically altered, as is their perspective, relationships with parishioners and family, and their perceptions of girls and women.""",0,5344
What is Kenya a founding member of?,"Kenya (/ˈkɛnjə/; locally [ˈkɛɲa] ( listen)), officially the Republic of Kenya, is a country in Africa and a founding member of the East African Community (EAC).",0,5210
What does coastal beriods use as teeth?,"These variations enable different species to build huge populations in the same area, because they specialize in different types of prey, which they capture by as wide a range of methods as spiders use.",1,4816
What are one of the key cell types of the adaptive immune system?,"Dendritic cells serve as a link between the bodily tissues and the innate and adaptive immune systems, as they present antigens to T cells, one of the key cell types of the adaptive immune system.",0,4961
"In the United States, what is a usual turbine speed with 60 Hertz of power?","Typical speeds are 3600 revolutions per minute (RPM) in the USA with 60 Hertz power, 3000 RPM in Europe and other countries with 50 Hertz electric power systems.",0,2691
What lead to the UK to subscribe to the agreement on Social Policy?,"Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam.",0,57
What suffered considerably for Warsaw when it had an Eastern Bloc economy?,"However, over the past decade Warsaw has seen many improvements due to solid economic growth, an increase in foreign investment as well as funding from the European Union.",1,5152
What seldom mutates?,"It is possible that the inverted repeats help stabilize the rest of the chloroplast genome, as chloroplast DNAs which have lost some of the inverted repeat segments tend to get rearranged more.",1,2736
How many species of bird and mammals are there in the Amazon region?,"The region is home to about 2.5 million insect species, tens of thousands of plants, and some 2,000 birds and mammals.",0,4022
"Though Turabi proclaimed his support for the democratic process, he strictly applied what after coming into power?","After al-Nimeiry was overthrown in 1985 the party did poorly in national elections, but in 1989 it was able to overthrow the elected post-al-Nimeiry government with the help of the military.",1,2850
What language is used in Chinese secondary schools in Malaysia?,"This caused an uproar among the Chinese and a compromise was achieved in that the schools would instead become ""National Type"" schools.",1,2499
How many of the Mau Mau did Home Gaurd kill?,"By the end of the emergency, the Home Guard had killed 4,686 Mau Mau, amounting to 42% of the total insurgents.",0,4250
How was Temüjin kept imprisoned by the Tayichi'ud?,"In another incident, around 1177, he was captured in a raid and held prisoner by his father's former allies, the Tayichi'ud.",1,2341
Who was Kennedy's science adviser that opposed manned spacecraft flights?,"Kennedy's science advisor Jerome Wiesner, who had expressed his opposition to manned spaceflight to Kennedy before the President took office, and had opposed the decision to land men on the Moon, hired Golovin, who had left NASA, to chair his own ""Space Vehicle Panel"", ostensibly to monitor, but actually to second-guess NASA's decisions on the Saturn V launch vehicle and LOR by forcing Shea, Seamans, and even Webb to defend themselves, delaying its formal announcement to the press on July 11, 1962, and forcing Webb to still hedge the decision as ""tentative"".",0,2050
In which year was the Salting Bequest made?,"Among the finest examples are the Meissen Vulture from 1731 and the Möllendorff Dinner Service, designed in 1762 by Frederick II the Great.",1,2536
What two radio networks did RCA own?,"In the 1930s, radio in the United States was dominated by three companies: the Columbia Broadcasting System (CBS), the Mutual Broadcasting System and the National Broadcasting Company (NBC).",1,601
What is tertiary endosymbiosis of haptophyte chloroplasts expected to create?,"The fucoxanthin dinophyte lineages (including Karlodinium and Karenia) lost their original red algal derived chloroplast, and replaced it with a new chloroplast derived from a haptophyte endosymbiont.",1,328
What is  565 °C the creep limit of?,"Without the pressure reaching supercritical levels for the working fluid, the temperature range the cycle can operate over is quite small; in steam turbines, turbine entry temperatures are typically 565 °C (the creep limit of stainless steel) and condenser temperatures are around 30 °C.",0,1910
Rocks on top of a fault that are cut are always older or younger than the fault itself?,"Faults are younger than the rocks they cut; accordingly, if a fault is found that penetrates some formations but not those on top of it, then the formations that were cut are older than the fault, and the ones that are not cut must be younger than the fault.",0,1055
What kind of chloroplasts do Euglenophytes have?,Euglenophyte chloroplasts have a pyrenoid and thylakoids stacked in groups of three.,1,1982
Which continents are represented in the V&A's textiles collection?,"The collection of textiles consists of more than 53,000 examples, mainly western European though all populated continents are represented, dating from the 1st century AD to the present, this is the largest such collection in the world.",0,2000
What countries is corporal punishment still a normal practice?,"Official corporal punishment, often by caning, remains commonplace in schools in some Asian, African and Caribbean countries.",0,3786
When did Luther travel to Mansfeld twice?,"Luther journeyed to Mansfeld twice in late 1545 to participate in the negotiations for a settlement, and a third visit was needed in early 1546 for their completion.",0,1650
What day of the week was Media Day held on for Super Bowl 50?,"Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge.",1,3810
Where was Super Bowl 50 held?,"The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0,3736
In what year did the film also mention the number of regenerations?,"This line became stuck in the public consciousness despite not often being repeated, and was recognised by producers of the show as a plot obstacle for when the show finally had to regenerate the Doctor a thirteenth time.",1,137
What does the Riemann hypothesis state the source of irregularity in the distribution of points comes from?,"From a physical viewpoint, it roughly states that the irregularity in the distribution of primes only comes from random noise.",0,4410
"When the election produced an SNP majority government, what was it the first occurrence of?",The SNP overall majority meant that there was sufficient support in the Scottish Parliament to hold a referendum on Scottish independence.,1,3691
"Which two importers claimed that under a French competition law, they were prevented from selling Picon beer under wholesale price?","In Keck and Mithouard two importers claimed that their prosecution under a French competition law, which prevented them selling Picon beer under wholesale price, was unlawful.",0,1722
Where did the ABC New York flagship stations move their facilities to in 1953?,"WJZ, WJZ-FM and WJZ-TV – changed their respective callsigns to WABC, WABC-FM and WABC-TV, and moved their operations to facilities at 7 West 66th Street, one block away from Central Park.",0,1414
What is the English translation of tawhid?,"This state should be a ""theo-democracy,"" based on the principles of: tawhid (unity of God), risala (prophethood) and khilafa (caliphate).",0,3066
"What was the definition of professionals, for this study?","A study in England showed a 0.3% prevalence of sexual abuse by any professional, a group that included priests, religious leaders, and case workers as well as teachers.",0,4068
In what month and year was the revised Manual of Regulations for Private Schools released?,"Government regulations have given private education more flexibility and autonomy in recent years, notably by lifting the moratorium on applications for new courses, new schools and conversions, by liberalizing tuition fee policy for private schools, by replacing values education for third and fourth years with English, mathematics and natural science at the option of the school, and by issuing the revised Manual of Regulations for Private Schools in August 1992.",0,4806
What do C4 plants need?,"Cyclic photophosphorylation is common in C4 plants, which need more ATP than NADPH.",0,4802
What is the delta in the Rhine delimited in the east by?,"The delta is delimited in the West by the Alter Rhein (""Old Rhine"") and in the East by a modern canalized section.",0,3427
Who had a 12-yard rush on this drive?,"On the next play, Ealy knocked the ball out of Manning's hand as he was winding up for a pass, and then recovered it for Carolina on the 50-yard line.",1,3725
When did Barton and Whitfield demand climate research records?,"On 23 June 2005, Rep. Joe Barton, chairman of the House Committee on Energy and Commerce wrote joint letters with Ed Whitfield, Chairman of the Subcommittee on Oversight and Investigations demanding full records on climate research, as well as personal information about their finances and careers, from Mann, Bradley and Hughes.",0,704
What term resulted from Dioscorides' book?,The title coined the term materia medica.,0,1013
How large across are chloroplasts in land plants?,"In land plants, chloroplasts are generally lens-shaped, 5–8 μm in diameter and 1–3 μm thick.",0,3881
In what year was the South African Schools Act passed?,"The South African Schools Act of 1996 recognises two categories of schools: ""public"" (state-controlled) and ""independent"" (which includes traditional private schools and schools which are privately governed[clarification needed].)",0,3612
When did the V&A acquired the Costiff collection?,"In 2002, the Museum acquired the Costiff collection of 178 Vivienne Westwood costumes.",0,1431
How large are the outer PD ring's filaments?,"The inner plastid-dividing ring is located in the inner side of the chloroplast's inner membrane, and is formed first.",1,4551
What day was Super Bowl 50 media day switched to?,"Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge.",1,4852
Who develped the theory of relativity?,"By the early 20th century, Einstein developed a theory of relativity that correctly predicted the action of forces on objects with increasing momenta near the speed of light, and also provided insight into the forces produced by gravitation and inertia.",0,5451
How many LEA-funded 11 to 18 schools are there in Newcastle?,There are eleven LEA-funded 11 to 18 schools and seven independent schools with sixth forms in Newcastle.,0,5285
When did he first get out of bed following the accident?,Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom).,1,4258
"The Ottoman empire controlled territory on three continents, Africa, Asia and which other?","During the 16th and 17th centuries, in particular at the height of its power under the reign of Suleiman the Magnificent, the Ottoman Empire was a powerful multinational, multilingual empire controlling much of Southeast Europe, Western Asia, the Caucasus, North Africa, and the Horn of Africa.",0,204
When was the final legislative proposals for a Scottish Assembly passed?,"During this time, the discovery of oil in the North Sea and the following ""It's Scotland's oil"" campaign of the Scottish National Party (SNP) resulted in rising support for Scottish independence, as well as the SNP.",1,4181
Who were the announcers of Super Bowl 50?,"The network's lead broadcast team of Jim Nantz and Phil Simms called the contest, with Tracy Wolfson and Evan Washburn on the sidelines.",0,1377
Goldenson proposed a merger between UPT and what network in October 1954?,"Despite the promise of non-interference between ABC and UPT, Goldenson had to intervene in ABC's decisions because of financial problems and the FCC's long period of indecision.",1,542
"What commonality do alternate machine models, such as random access machines, share with Turing machines?","Many machine models different from the standard multi-tape Turing machines have been proposed in the literature, for example random access machines.",1,1826
How many central conferences are outside of the United States?,"Outside the United States the church is divided into seven central conferences: Africa, Congo, West Africa, Central & Southern Europe, Germany, Northern Europe and the Philippines.",0,1089
What was the name of the Norman castle?,"Later, many took up service with the Armenian state further south in Cilicia and the Taurus Mountains.",1,3974
What condition what must be satisfied in order for 1/p to be expressed in base q instead of base 10 and still have a period of p - 1?,"The fraction 1/p expressed likewise in base q (rather than base 10) has similar effect, provided that p is not a prime factor of q. Wilson's theorem says that an integer p > 1 is prime if and only if the factorial (p − 1)! + 1 is divisible by p.",0,966
Whose chandelier grace the rotunda at the V&A's main entrance?,One of the most spectacular items in the collection is the chandelier by Dale Chihuly in the rotunda at the Museum's main entrance.,0,2620
What plants don't need light to make chloroplasts?,"If angiosperm shoots are not exposed to the required light for chloroplast formation, proplastids may develop into an etioplast stage before becoming chloroplasts.",1,5193
What writing inspired the name Great Yuan?,"zai Qián Yuán / ""Great is Qián, the Primal"") in the Commentaries on the Classic of Changes (I Ching) section regarding Qián (乾).",0,2660
How many developed countries did British researchers use to gather statistics from?,"Using statistics from 23 developed countries and the 50 states of the US, they found social/health problems lower in countries like Japan and Finland and states like Utah and New Hampshire with high levels of equality, than in countries (US and UK) and states (Mississippi and New York) with large differences in household income.",0,1426
What is the hottest temperature record for Fresno?,Measurable precipitation falls on an average of 48 days annually.,1,195
What do you get when you figure the sum of forces with vector addition?,Summing these component forces using vector addition yields the original force.,0,4225
What Apollo mission was the sixth moon landing?,It stands alone in sending manned missions beyond low Earth orbit.,1,4307
How many earthquakes does southern California experience in a year?,"Each year, the southern California area has about 10,000 earthquakes.",0,576
What months out of the year is Woodward Park open?,It is also the home of the Woodward Shakespeare Festival which began performances in the park in 2005.,1,1911
What type of civil war was fought between political and tribal warlords?,"In 1996, a more conservative and anti-democratic Islamist movement known as the Taliban rose to power, defeated most of the warlords and took over roughly 80% of Afghanistan.",1,1049
What was done to counteract the overpopulation of mnemiopsis in The Black Sea?,"One ctenophore, Mnemiopsis, has accidentally been introduced into the Black Sea, where it is blamed for causing fish stocks to collapse by eating both fish larvae and organisms that would otherwise have fed the fish.",1,1107
What researcher showed that air is a necessity for combustion?,"In the late 17th century, Robert Boyle proved that air is necessary for combustion.",0,3979
When was Europe fully forested and recovered from the last Ice Age?,"By 9000 BP, Europe was fully forested.",0,744
What is the Royal Castle the most interesting example of?,The most interesting examples of mannerist architecture are the Royal Castle (1596–1619) and the Jesuit Church (1609–1626) at Old Town.,0,2890
What manner of words does Mullet think Luther would choose?,"However, Mullett suggests that given his nature, ""we are free to believe that Luther would tend to select the more dramatic form of words.""",0,2995
The abolition of the Ottoman Caliphate is believed to have ended what system?,"This is believed to have ended the true Islamic system, something for which it blames ""the disbelieving (Kafir) colonial powers"" working through Turkish modernist Mustafa Kemal Atatürk.",0,623
What were Huguenots who stayed in France eventually known as?,"Those Huguenots who stayed in France became Catholics and were called ""new converts"".",0,1638
What has been analyzed to compare Amazon rainfall in the past and present?,"This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data.",1,2694
What is a regulatory factor produced by macrophages?,"Macrophages are versatile cells that reside within tissues and produce a wide array of chemicals including enzymes, complement proteins, and regulatory factors such as interleukin 1.",0,4144
What did a lot of players need to change during Super Bowl 50 because of the condition of the field?,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.",1,1390
Who sculpted the representations of Prince Albert and Queen Victoria found in the main entrance?,"Prince Albert appears within the main arch above the twin entrances, Queen Victoria above the frame around the arches and entrance, sculpted by Alfred Drury.",0,1119
What type of engines became popular for power generation after piston steam engines?,"Reciprocating piston type steam engines remained the dominant source of power until the early 20th century, when advances in the design of electric motors and internal combustion engines gradually resulted in the replacement of reciprocating (piston) steam engines in commercial usage, and the ascendancy of steam turbines in power generation.",0,1728
What kingdom annexed Warsaw in 1796?,"Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.",0,4665
How accurate did Guo make the reformed lunisolar calendar?,"Among Kublai Khan's top engineers and scientists was the astronomer Guo Shoujing, who was tasked with many public works projects and helped the Yuan reform the lunisolar calendar to provide an accuracy of 365.2425 days of the year, which was only 26 seconds off the modern Gregorian calendar's measurement.",0,279
What is the purpose of the ASER?,"The Annual Status of Education Report (ASER), which evaluates learning levels in rural India, has been reporting poorer academic achievement in government schools than in private schools.",0,4910
What types of preparation do pharmacists have?,Pharmacists are healthcare professionals with specialised education and training who perform various roles to ensure optimal health outcomes for their patients through the quality use of medicines.,0,430
What is the land area of Jacksonville?,"According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and ; 13.34% (116.7 sq mi or 302 km2) is water.",0,2617
What was Temüjin' sister's name?,"His father arranged a marriage for him, and at nine years of age he was delivered by his father to the family of his future wife Börte, who was a member of the tribe Khongirad.",1,5338
"In the 1965-66 season, what place did ABC find it's self among the other networks in ratings?","ABC, meanwhile, remained in third place and still needed money to grow itself into a major competitor.",0,2502
The Rhine is the longest river in what country?,Most of Luxembourg and a very small part of Belgium also drain to the Rhine via the Moselle.,1,963
Bacteria often secrete what kind of proteins to ingest a physical barrier?,"Bacteria often overcome physical barriers by secreting enzymes that digest the barrier, for example, by using a type II secretion system.",0,2602
What was William Johnson's Iroquois name?,"The British Superintendent for Indian Affairs in the New York region and beyond, Johnson was known to the Iroquois as Warraghiggey, meaning ""He who does great things.""",0,2014
What did the civil war leave the state of Afghanistan's economy in?,"In Afghanistan, the mujahideen's victory against the Soviet Union in the 1980s did not lead to justice and prosperity, due to a vicious and destructive civil war between political and tribal warlords, making Afghanistan one of the poorest countries on earth.",0,4356
Who was Kaidu's grandfather?,He feared that his dependence on Chinese officials left him vulnerable to future revolts and defections to the Song.,1,3324
What did Queen Elizabeth II open in Newcastle in 1981?,"It was opened in five phases between 1980 and 1984, and was Britain's first urban light rail transit system; two extensions were opened in 1991 and 2002.",1,3459
What did John Wesley originally call the experience of conversion?,"In this reception, we are forgiven through the atoning work of Jesus Christ on the cross.",1,4368
When did the North American French and Indian War end?,"The British offered France the choice of surrendering either its continental North American possessions east of the Mississippi or the Caribbean islands of Guadeloupe and Martinique, which had been occupied by the British.",1,847
What were the two forms of environmental determinism?,"This takes two forms, orientalism and tropicality.",0,2072
What basin was formed when the Andes Mountains rose?,"During the mid-Eocene, it is believed that the drainage basin of the Amazon was split along the middle of the continent by the Purus Arch.",1,4641
What US war has a large amount of Civil Disobedients?,"Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience.",1,5316
What is an object's mass proportional to at the surface of the Earth?,Galileo was instrumental in describing the characteristics of falling objects by determining that the acceleration of every object in free-fall was constant and independent of the mass of the object.,1,1010
What have the Treaties sought to enable since its foundation?,"Since its foundation, the Treaties sought to enable people to pursue their life goals in any country through free movement.",0,2142
What are cilia used for?,"Most species have eight strips, called comb rows, that run the length of their bodies and bear comb-like bands of cilia, called ""ctenes,"" stacked along the comb rows so that when the cilia beat, those of each comb touch the comb below.",1,795
What war in Ireland featured Huguenot regiments?,"Huguenot regiments fought for William of Orange in the Williamite war in Ireland, for which they were rewarded with land grants and titles, many settling in Dublin.",0,1785
What is the city centre of Warsaw called in Polish?,"Warsaw leads the region of East-Central Europe in foreign investment and in 2006, GDP growth met expectations with a level of 6.1%.",1,691
When did the ban on cigarette advertising take effect for television networks?,"In April 1970, Congress passed the Public Health Cigarette Smoking Act which banned cigarette advertising from all television and radio networks, including ABC, when it took effect on January 2, 1971.",0,5274
What were the years two Regulations that conflicted with an Italian law originate in the Simmenthal SpA case?,"He claimed the Italian nationalisation law conflicted with the Treaty of Rome, and requested a reference be made to both the Italian Constitutional Court and the Court of Justice under TFEU article 267.",1,1675
Who discovered the Compton Effect?,""" Luis Walter Alvarez, Murray Gell-Mann who introduced the quark, second female Nobel laureate Maria Goeppert-Mayer, the youngest American winner of the Nobel Prize Tsung-Dao Lee, and astrophysicist Subrahmanyan Chandrasekhar.",1,694
In what years did the show see audiences as high as 12 million?,"The first of these was the ""Dalekmania"" period (circa 1964–1965), when the popularity of the Daleks regularly brought Doctor Who ratings of between 9 and 14 million, even for stories which did not feature them.",1,3072
How many touchdowns did Manning throw in the game?,"Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.",1,233
When was Kublai's administration running out of money?,"The Chinese region of Fujian was the original home of the Chinese Tran (Chen) clan before they migrated under Trần Kinh (陳京, Chén Jīng) to Dai Viet and whose descendants established the Trần dynasty which ruled Vietnam Đại Việt, and certain members of the clan could still speak Chinese such as when a Yuan dynasty envoy had a meeting with the Chinese-speaking Trần prince Trần Quốc Tuấn (later King Trần Hưng Đạo) in 1282.",1,3491
How much did Capital Cities Communications purchase ABC and its properties for?,"On March 16, 1985, ABC's executive committee accepted the merger offer, which was formally announced on March 18, 1985, with Capital Cities purchasing ABC and its related properties for $3.5 billion and $118 for each of ABC's shares as well as a guarantee of 10% (or $3) for a total of $121 per share.",0,3639
What does the inability to separate Islam from Islamism lead many in the West to support?,"Islamism is a controversial concept not just because it posits a political role for Islam but also because its supporters believe their views merely reflect Islam, while the contrary idea that Islam is, or can be, apolitical is an error.",1,5090
What fixed set of factors determine the actions of a deterministic Turing machine,"A deterministic Turing machine is the most basic Turing machine, which uses a fixed set of rules to determine its future actions.",0,770
What would a parent have to pay to send their child to a boarding school in 2012?,"Boarding schools with a reputation for quality in the United States have a student body drawn from throughout the country, indeed the globe, and a list of applicants which far exceeds their capacity.",1,2626
How much does petroleum account for of the national import bill?,Petroleum accounts for 20% to 25% of the national import bill.,0,4477
What does turning sideways protect chloroplasts from?,This reduces exposure and protects them from photooxidative damage.,0,848
What year did Genghis Khan die?,He died in 1227 after defeating the Western Xia.,0,3023
What were these indulgences supposed to grant the giver?,"Christians, he said, must not slacken in following Christ on account of such false assurances.",1,606
Antigone was a play made by whom?,"She is not at all afraid of the death he threatens her with (and eventually carries out), but she is afraid of how her conscience will smite her if she does not do this.",1,4009
How many times has the South Florida/Miami area hosted the Super Bowl?,"The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers.",1,2849
The business allowed for private companies to do what,The private networks were often connected via gateways to the public network to reach locations not on the private network.,1,3677
From which period did the objects in the Soulages collection come from?,"The Soulages collection of Italian and French Renaissance objects was acquired between 1859 and 1865, and includes several cassone.",0,2343
Who listed the Grainger Market architecture as grade 1 in 1954?,"The Grainger Market architecture, like most in Grainger Town, which are either grade I or II listed, was listed grade",1,5145
What is the name of one type of modern primality test?,"Modern primality tests for general numbers n can be divided into two main classes, probabilistic (or ""Monte Carlo"") and deterministic algorithms.",0,1778
What lake connects the Rhine to Lake Constance?,"Lake Constance consists of three bodies of water: the Obersee (""upper lake""), the Untersee (""lower lake""), and a connecting stretch of the Rhine, called the Seerhein (""Lake Rhine"").",0,976
Who was named the president of ABC News in 1977?,"In 1977, Roone Arledge was named president of the new ABC News in addition to being president of ABC Sports.",0,2621
